[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/endpoint_groups" [Client 127.0.0.1] [Length 352] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/settings" [Client 127.0.0.1] [Length 1382] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/system/nodes" [Client 127.0.0.1] [Length 11] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/system/info" [Client 127.0.0.1] [Length 58] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/system/status" [Client 127.0.0.1] [Length 72] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/users/1" [Client 127.0.0.1] [Length 172] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/tags" [Client 127.0.0.1] [Length 78] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:57 +0000] - 200 200 - GET http portainer.localhost "/api/endpoints/3" [Client 127.0.0.1] [Length 89276] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:58:59 +0000] - 200 200 - GET http portainer.localhost "/api/system/version" [Client 127.0.0.1] [Length 563] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:09:59:00 +0000] - 200 200 - GET http portainer.localhost "/api/motd" [Client 127.0.0.1] [Length 196691] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/settings/public" [Client 127.0.0.1] [Length 491] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/tags" [Client 127.0.0.1] [Length 78] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/endpoint_groups" [Client 127.0.0.1] [Length 352] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/users/me" [Client 127.0.0.1] [Length 200] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/endpoints/agent_versions" [Client 127.0.0.1] [Length 2] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/system/info" [Client 127.0.0.1] [Length 58] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/users/1" [Client 127.0.0.1] [Length 172] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/system/nodes" [Client 127.0.0.1] [Length 11] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/system/status" [Client 127.0.0.1] [Length 72] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/endpoints?start=1&limit=10&order=asc&search=&provisioned=true&tagsPartialMatch=true&updateInformation=false" [Client 127.0.0.1] [Length 89285] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/settings" [Client 127.0.0.1] [Length 1382] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:01:59 +0000] - 200 200 - GET http portainer.localhost "/api/endpoints/3" [Client 127.0.0.1] [Length 89283] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
[12/Mar/2025:10:02:00 +0000] - 200 200 - GET http portainer.localhost "/api/motd" [Client 127.0.0.1] [Length 196693] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://portainer.localhost/"
